Town_proper,slug,Town_upper,birthrate,deathrate,pop2012,pop2016,births2016,deaths2016,change5yr
Troy,TROY,TROY,1.118155168,0.696119403,1642,1551,22,13,-0.055420219
Tunbridge,TUNBRIDGE,TUNBRIDGE,1.115977401,0.789861756,1288,1309,12,11,0.016304348
Underhill,UNDERHILL,UNDERHILL,0.804139653,0.425218045,3044,3070,28,14,0.008541393
Vergennes,VERGENNES,VERGENNES,1.100024806,0.938087042,2584,2599,30,19,0.005804954
Vernon,VERNON,VERNON,0.750633999,1.546427112,2192,2198,11,38,0.002737226
Vershire,VERSHIRE,VERSHIRE,0.856154764,0.386416494,723,737,3,2,0.019363762
Victory,VICTORY,VICTORY,0,1.634232329,61,62,0,2,0.016393443
Waitsfield,WAITSFIELD,WAITSFIELD,0.917527447,0.732040408,1726,1718,16,14,-0.004634994
Walden,WALDEN,WALDEN,0.450174354,1.028872679,932,938,2,6,0.006437768
Wallingford,WALLINGFORD,WALLINGFORD,0.865294458,1.071744088,2055,2001,18,23,-0.026277372
Waltham,WALTHAM,WALTHAM,0.660428452,0.830852835,478,435,7,6,-0.089958159
Wardsboro,WARDSBORO,WARDSBORO,0.634927299,0.681760699,890,861,5,9,-0.03258427
Warren,WARREN,WARREN,0.764086904,0.623889941,1704,1690,11,15,-0.008215962
Warren Gore,WARRENGORE,WARREN GORE,0,0,4,4,0,0,0
Washington,WASHINGTON,WASHINGTON,0.894971812,0.64073677,1031,1021,18,7,-0.009699321
Waterbury,WATERBURY,WATERBURY,1.255619644,0.692123023,5102,5136,59,42,0.006664053
Waterford,WATERFORD,WATERFORD,0.609693603,0.969757778,1285,1263,9,14,-0.017120623
Waterville,WATERVILLE,WATERVILLE,0.924888689,0.60985754,685,701,10,2,0.023357664
Weathersfield,WEATHERSFIELD,WEATHERSFIELD,0.659984433,1.132682056,2810,2775,20,34,-0.012455516
Wells,WELLS,WELLS,0.912404357,1.016575326,1144,1147,8,8,0.002622378
West Fairlee,WESTFAIRLEE,WEST FAIRLEE,0.696871589,0.544847812,659,668,6,6,0.013657056
West Haven,WESTHAVEN,WEST HAVEN,0.618124185,1.232660756,263,255,1,1,-0.030418251
West Rutland,WESTRUTLAND,WEST RUTLAND,0.970946748,1.176664374,2283,2199,22,27,-0.036793693
West Windsor,WESTWINDSOR,WEST WINDSOR,0.682250909,0.794059941,1095,1072,9,15,-0.021004566
Westfield,WESTFIELD,WESTFIELD,0.463600345,1.266937319,527,500,3,3,-0.051233397
Westford,WESTFORD,WESTFORD,0.801148333,0.492666561,2043,2077,12,7,0.016642193
Westminster,WESTMINSTER,WESTMINSTER,0.6526229,0.879789508,3132,3034,23,29,-0.031289911
Westmore,WESTMORE,WESTMORE,0.467799617,1.009101742,347,328,1,7,-0.054755043
Weston,WESTON,WESTON,0.709123838,1.028974979,563,564,3,6,0.001776199
